Name,Date,Time,Description,Image
Trivia Night,2025-07-05,7:00 PM,Compete with friends for prizes!,trivia.jpg
Live Jazz,2025-07-12,8:00 PM,Featuring local jazz trio.,jazz.jpg
Pizza & Pints Special,2025-07-19,All Day,Buy a pint get 20% off a pizza.,pizza-pints.jpg
Open Mic Night,2025-07-26,6:30 PM,Share your talent or enjoy local performers.,
80s Dance Party,2025-08-02,9:00 PM,Dress up and get down to 80s hits.,80s.jpg
Beer Release Party,2025-08-09,5:00 PM,Unveiling our new seasonal IPA.,ipa.jpg
Family Bingo Night,2025-08-16,6:00 PM,Friendly fun for all ages!,
Comedy Night,2025-08-23,8:00 PM,Stand-up acts from across the region.,comedy.jpg
Back to School Bash,2025-08-30,4:00 PM,Face painting, snacks, and music!,school.jpg
Fall Fest,2025-09-06,2:00 PM,Crafts, cider, and fall fun.,fallfest.jpg
Oktoberfest Kickoff,2025-09-13,3:00 PM,Live music, bratwurst, and beer!,oktoberfest.jpg
Karaoke Night,2025-09-20,7:30 PM,Get your singing voice ready!,karaoke.jpg
Pumpkin Beer Release,2025-10-01,5:00 PM,Our famous pumpkin ale is back.,pumpkin.jpg
Halloween Bash,2025-10-31,7:00 PM,Costume contest and spooky drinks!,halloween.jpg
Friendsgiving,2025-11-22,6:00 PM,A pre-Thanksgiving gathering.,friendsgiving.jpg
